target,architecture,event,occurrence,event_label,attempted_runs,event_matched_runs,event_reachability,actual_injections,injection_rate_per_attempt,matched_not_triggered_runs,not_reached_runs,pre_event_failures,pre_event_failure_rate_per_attempt,no_result_runs,drained_after_injection,faults_after_injection,mission_success_given_injection,mission_success_ci95_low,mission_success_ci95_high,mission_failure_given_injection,mission_failure_ci95_low,mission_failure_ci95_high,halt_recovered_runs,halt_recovery_rate_given_injection,injected_fault_reasons,pre_event_failure_reasons,event_time_median_ms,event_time_q1_ms,event_time_q3_ms,halt_start_lag_median_ms,halt_start_lag_p95_ms,actual_down_median_ms,actual_down_p05_ms,actual_down_p95_ms,down_error_median_ms,down_abs_error_p95_ms,drained_mission_median_ms,fault_terminal_mission_median_ms,drained_remaining_time_median_ms,drained_remaining_time_q1_ms,drained_remaining_time_q3_ms,fault_remaining_time_median_ms
PRODUCTION,DECOMPOSED_3CD,LID_DONE,1,after_first_bottle_lid,20,16,0.8,16,0.8,0,4,4,0.2,0,15,1,0.9375,0.7167126242970107,0.9888806552353576,0.0625,0.01111934476464252,0.28328737570298945,16,1.0,TABLE_ALIGNMENT_TIMEOUT:1,TABLE_ALIGNMENT_TIMEOUT:4,5211.9688,5207.59915,5215.66195,0.0,0.0,500.71205,500.278,501.81115,0.712050000000005,1.811150000000012,10181.856,23400.5133,4970.7524,4966.0085500000005,4979.8688,18196.576399999998
SAFETY,DECOMPOSED_3CD,LID_DONE,1,after_first_bottle_lid,20,19,0.95,19,0.95,0,1,1,0.05,0,17,2,0.8947368421052632,0.6860591728889099,0.9706414397011299,0.10526315789473684,0.02935856029887013,0.31394082711109006,19,1.0,TABLE_ALIGNMENT_TIMEOUT:2,TABLE_ALIGNMENT_TIMEOUT:1,5209.4102,5206.3074,5211.2033,0.0,0.0,500.9084,500.07770999999997,501.73066,0.9083999999999719,1.7306599999999885,10177.6916,21476.4,4971.7466,4966.0562,4975.052700000001,16270.1435
COORDINATOR,CENTRALISED,CAPPER_DONE,1,after_first_bottle_cap,20,17,0.85,17,0.85,0,3,3,0.15,0,17,0,1.0,0.8156818649911483,1.0,0.0,0.0,0.1843181350088518,17,1.0,,TABLE_ALIGNMENT_TIMEOUT:3,6762.2764,6760.2574,6766.7822,0.0,0.0,500.7519,500.09529999999995,501.67959999999994,0.7518999999999778,1.6795999999999822,10674.8972,,3911.3397999999997,3907.9320000000007,3920.3487000000005,
BATCH,DECOMPOSED_3CD,CAPPER_DONE,1,after_first_bottle_cap,20,18,0.9,18,0.9,0,2,2,0.1,0,17,1,0.9444444444444444,0.7424269921812741,0.990124809021697,0.05555555555555555,0.009875190978303097,0.25757300781872594,18,1.0,TABLE_ALIGNMENT_TIMEOUT:1,TABLE_ALIGNMENT_TIMEOUT:2,6764.90815,6762.8382,6767.535800000001,0.0,0.0,501.1893,500.14135,501.71811999999994,1.189300000000003,1.7181199999999788,10185.3142,23407.7442,3424.7066999999997,3420.662199999999,3429.602500000001,16638.4774
PRODUCTION,DECOMPOSED_3CD,CAPPER_DONE,1,after_first_bottle_cap,20,18,0.9,18,0.9,0,2,2,0.1,0,17,1,0.9444444444444444,0.7424269921812741,0.990124809021697,0.05555555555555555,0.009875190978303097,0.25757300781872594,18,1.0,TABLE_ALIGNMENT_TIMEOUT:1,TABLE_ALIGNMENT_TIMEOUT:2,6766.7293,6763.320450000001,6768.594375000001,0.0,0.0,500.8858,500.059955,501.92780000000005,0.885799999999989,1.9278000000000077,10683.3033,23905.4461,3916.6048999999994,3912.897,3924.9402,17137.5836
SAFETY,DECOMPOSED_3CD,CAPPER_DONE,1,after_first_bottle_cap,20,17,0.85,17,0.85,0,3,3,0.15,0,17,0,1.0,0.8156818649911483,1.0,0.0,0.0,0.1843181350088518,17,1.0,,TABLE_ALIGNMENT_TIMEOUT:3,6767.7351,6764.8677,6770.5521,0.0,0.0,500.8806,500.23091999999997,501.80898,0.8806000000000154,1.808979999999997,10192.6351,,3425.5429999999997,3422.3001000000004,3430.617800000001,
COORDINATOR,CENTRALISED,LABELLER_DONE,1,after_first_bottle_label,20,17,0.85,17,0.85,0,3,3,0.15,0,17,0,1.0,0.8156818649911483,1.0,0.0,0.0,0.1843181350088518,17,1.0,,TABLE_ALIGNMENT_TIMEOUT:3,8986.4265,8980.128,8990.3361,0.0,0.0,500.8927,500.2555,501.55716,0.8926999999999907,1.5571599999999988,10687.8352,,1701.6813999999995,1697.4316999999992,1704.4697000000015,
BATCH,DECOMPOSED_3CD,LABELLER_DONE,1,after_first_bottle_label,20,15,0.75,15,0.75,0,5,5,0.25,0,15,0,1.0,0.7961166989641515,1.0,0.0,0.0,0.20388330103584862,15,1.0,,TABLE_ALIGNMENT_TIMEOUT:5,8980.7991,8975.91605,8985.122299999999,0.0,0.0,500.8404,500.06418,501.93978999999996,0.8403999999999883,1.9397899999999821,10187.1025,,1206.6836000000003,1205.4582499999997,1211.0656499999996,
PRODUCTION,DECOMPOSED_3CD,LABELLER_DONE,1,after_first_bottle_label,20,19,0.95,19,0.95,0,1,1,0.05,0,19,0,1.0,0.8318207759473837,1.0,0.0,0.0,0.16817922405261626,19,1.0,,TABLE_ALIGNMENT_TIMEOUT:1,8976.6338,8971.988399999998,8979.389,0.0,0.0,500.7748,500.11215,501.35768999999993,0.7748000000000275,1.357689999999979,10677.5652,,1702.0902999999998,1698.6638000000003,1705.05195,
SAFETY,DECOMPOSED_3CD,LABELLER_DONE,1,after_first_bottle_label,20,17,0.85,17,0.85,0,3,3,0.15,0,17,0,1.0,0.8156818649911483,1.0,0.0,0.0,0.1843181350088518,17,1.0,,TABLE_ALIGNMENT_TIMEOUT:3,8975.7205,8969.3219,8977.8614,0.0,0.0,500.7608,500.32964,501.4498,0.7608000000000175,1.449799999999993,10181.7491,,1209.3745999999992,1207.207699999999,1215.6311999999998,
COORDINATOR,CENTRALISED,UNLOADER_DONE,1,after_first_bottle_completion,20,16,0.8,16,0.8,0,4,4,0.2,0,16,0,1.0,0.8063923194655637,1.0,0.0,0.0,0.1936076805344365,16,1.0,,TABLE_ALIGNMENT_TIMEOUT:4,10090.8335,10083.832325000001,10097.374225,0.0,0.0,500.7659,500.17387499999995,501.54024999999996,0.7658999999999878,1.5402500000000003,10671.2102,,578.6275500000002,577.0425499999992,581.409075,
BATCH,DECOMPOSED_3CD,UNLOADER_DONE,1,after_first_bottle_completion,20,17,0.85,17,0.85,0,3,3,0.15,0,17,0,1.0,0.8156818649911483,1.0,0.0,0.0,0.1843181350088518,17,1.0,,TABLE_ALIGNMENT_TIMEOUT:3,10086.6919,10085.123,10104.1472,0.0,0.0,500.5752,500.06898,501.77004,0.5751999999999953,1.7700400000000172,10590.9294,,503.78139999999985,503.5714000000007,504.47700000000077,
PRODUCTION,DECOMPOSED_3CD,UNLOADER_DONE,1,after_first_bottle_completion,20,17,0.85,17,0.85,0,3,3,0.15,0,17,0,1.0,0.8156818649911483,1.0,0.0,0.0,0.1843181350088518,17,1.0,,TABLE_ALIGNMENT_TIMEOUT:3,10085.36,10083.4065,10096.3186,0.0,0.0,501.1135,500.13324,501.82284000000004,1.1134999999999877,1.8228400000000078,10670.4283,,582.3844000000008,580.2408999999989,585.5696000000007,
SAFETY,DECOMPOSED_3CD,UNLOADER_DONE,1,after_first_bottle_completion,20,15,0.75,15,0.75,0,5,5,0.25,0,15,0,1.0,0.7961166989641515,1.0,0.0,0.0,0.20388330103584862,0,0.0,,TABLE_ALIGNMENT_TIMEOUT:5,10095.287,10088.3498,10098.1473,0.0,0.0,95.7608,91.73812,101.0029,-404.2392,408.26187999999996,10189.9713,,95.76080000000002,93.50420000000122,97.25714999999946,
COORDINATOR,CENTRALISED,LOADER_DONE,2,after_second_bottle_admitted,20,17,0.85,17,0.85,0,3,3,0.15,0,17,0,1.0,0.8156818649911483,1.0,0.0,0.0,0.1843181350088518,17,1.0,,TABLE_ALIGNMENT_TIMEOUT:3,3593.0987,3589.2225,3595.9174,0.0,0.0,500.9035,500.09652,501.77526,0.9035000000000082,1.775260000000003,10677.0719,,7083.4296,7079.974699999999,7091.1332999999995,
BATCH,DECOMPOSED_3CD,LOADER_DONE,2,after_second_bottle_admitted,20,18,0.9,18,0.9,0,2,2,0.1,0,15,3,0.8333333333333334,0.6077796189608429,0.9416342319413855,0.16666666666666666,0.05836576805861446,0.39222038103915724,18,1.0,TABLE_ALIGNMENT_TIMEOUT:3,TABLE_ALIGNMENT_TIMEOUT:2,3592.1969,3587.6787999999997,3594.626675,0.0,0.0,500.7514,500.07708499999995,501.578105,0.7513999999999896,1.5781050000000219,10190.9824,23400.3537,6598.8814999999995,6592.23285,6605.6992,19806.1719
PRODUCTION,DECOMPOSED_3CD,LOADER_DONE,2,after_second_bottle_admitted,20,17,0.85,17,0.85,0,3,3,0.15,0,16,1,0.9411764705882353,0.7301796936242461,0.9895395990150025,0.058823529411764705,0.01046040098499762,0.269820306375754,17,1.0,TABLE_ALIGNMENT_TIMEOUT:1,TABLE_ALIGNMENT_TIMEOUT:3,3592.0176,3589.1055,3595.4912,0.0,0.0,500.8073,500.125,501.55766,0.8072999999999979,1.5576599999999983,10676.26235,23878.3084,7081.4992999999995,7078.097975000001,7088.358475,20290.064300000002
SAFETY,DECOMPOSED_3CD,LOADER_DONE,2,after_second_bottle_admitted,20,16,0.8,16,0.8,0,4,4,0.2,0,16,0,1.0,0.8063923194655637,1.0,0.0,0.0,0.1936076805344365,16,1.0,,TABLE_ALIGNMENT_TIMEOUT:4,3590.4005500000003,3589.160325,3593.958125,0.0,0.0,500.48109999999997,500.102425,501.411675,0.48109999999999786,1.4116749999999882,10187.428899999999,,6594.8451000000005,6587.534224999999,6600.620649999999,
