architecture,target,event,occurrence,event_label,attempted_runs,event_matched_runs,actual_injections,not_reached_runs,matched_but_not_triggered_runs,drained_after_injection,faults_after_injection,no_result_runs,halt_recovered_runs,failure_probability_given_injection,fault_reasons,median_event_match_mission_ms,median_halt_start_after_event_ms,requested_duration_ms,median_actual_down_ms,median_drained_mission_ms,median_drained_completion_delta_ms,median_impact_ratio_drained,baseline_successes,baseline_attempts,baseline_failures,baseline_success_rate,baseline_median_ms,baseline_mean_ms,baseline_stdev_ms,baseline_mad_ms,baseline_noise_band_ms,drained_impact_exceeds_noise_band
DECOMPOSED_3CD,BATCH,TABLE_ALIGNED,3,after_third_confirmed_rotation,20,18,18,2,0,18,0,0,18,0.0,,6683.9662499999995,0.0,500,500.58315,10190.659899999999,-4155.321600000002,-8.30096178826635,10,10,0,1.0,14345.981500000002,14290.52824,201.21850869430045,13.155249999999796,402.4370173886009,1
DECOMPOSED_3CD,BATCH,TABLE_ALIGNED,5,after_fifth_confirmed_rotation,20,16,16,4,0,16,0,0,16,0.0,,8908.8613,0.0,500,500.80145,10179.472300000001,-4166.509200000001,-8.319682780471185,10,10,0,1.0,14345.981500000002,14290.52824,201.21850869430045,13.155249999999796,402.4370173886009,1
DECOMPOSED_3CD,PRODUCTION,BATCH_ACCEPTED,1,after_valid_B2_acceptance,20,20,20,0,0,15,5,0,20,0.25,TABLE_ALIGNMENT_TIMEOUT:5,0.0683,0.0,500,500.66875000000005,10675.8425,-3670.139000000001,-7.330473491704846,10,10,0,1.0,14345.981500000002,14290.52824,201.21850869430045,13.155249999999796,402.4370173886009,1
DECOMPOSED_3CD,PRODUCTION,LOADER_DONE,1,after_first_bottle_admitted,20,20,20,0,0,14,6,0,20,0.3,TABLE_ALIGNMENT_TIMEOUT:6,1035.81395,0.0,500,500.8603,10676.4529,-3669.5286000000015,-7.326451307879665,10,10,0,1.0,14345.981500000002,14290.52824,201.21850869430045,13.155249999999796,402.4370173886009,1
DECOMPOSED_3CD,PRODUCTION,CONVEYOR_DONE,1,after_first_bottle_transfer_to_rotary,20,20,20,0,0,13,7,0,20,0.35,TABLE_ALIGNMENT_TIMEOUT:7,2060.7045,0.0,500,500.72785,10683.3896,-3662.5919000000013,-7.314536029901276,10,10,0,1.0,14345.981500000002,14290.52824,201.21850869430045,13.155249999999796,402.4370173886009,1
DECOMPOSED_3CD,PRODUCTION,TABLE_ALIGNED,1,after_first_confirmed_rotation,20,19,19,1,0,19,0,0,19,0.0,,2574.7669,0.0,500,500.5365,10681.7437,-3664.237800000001,-7.320620574123967,10,10,0,1.0,14345.981500000002,14290.52824,201.21850869430045,13.155249999999796,402.4370173886009,1
DECOMPOSED_3CD,PRODUCTION,FILLER_DONE,1,after_first_bottle_fill,20,15,15,5,0,14,1,0,15,0.06666666666666667,TABLE_ALIGNMENT_TIMEOUT:1,3600.3662,0.0,500,500.5721,10684.6896,-3661.291900000002,-7.3142148753396405,10,10,0,1.0,14345.981500000002,14290.52824,201.21850869430045,13.155249999999796,402.4370173886009,1
DECOMPOSED_3CD,PRODUCTION,LID_DONE,1,after_first_bottle_lid,20,16,16,4,0,15,1,0,16,0.0625,TABLE_ALIGNMENT_TIMEOUT:1,5211.9688,0.0,500,500.71205,10181.856,-4164.125500000002,-8.316407603931246,10,10,0,1.0,14345.981500000002,14290.52824,201.21850869430045,13.155249999999796,402.4370173886009,1
DECOMPOSED_3CD,PRODUCTION,CAPPER_DONE,1,after_first_bottle_cap,20,18,18,2,0,17,1,0,18,0.05555555555555555,TABLE_ALIGNMENT_TIMEOUT:1,6766.7293,0.0,500,500.8858,10683.3033,-3662.678200000002,-7.312401749061367,10,10,0,1.0,14345.981500000002,14290.52824,201.21850869430045,13.155249999999796,402.4370173886009,1
DECOMPOSED_3CD,PRODUCTION,LABELLER_DONE,1,after_first_bottle_label,20,19,19,1,0,19,0,0,19,0.0,,8976.6338,0.0,500,500.7748,10677.5652,-3668.4163000000026,-7.325481034588806,10,10,0,1.0,14345.981500000002,14290.52824,201.21850869430045,13.155249999999796,402.4370173886009,1
